User_ID,Age,Gender,Occupation,Game_Type,Daily_Gaming_Hours,Weekly_Gaming_Hours,Primary_Gaming_Time,Sleep_Hours,Stress_Level,Focus_Level,Academic_or_Work_Score,Productivity_Level,Performance_Impact
U0001,21,Male,Working Professional,Action,4.0,28.0,Morning,4.6,6,4,69,66,Negative
U0002,35,Female,Student,Sports,1.0,7.0,Night,5.4,2,7,67,72,Neutral
U0003,26,Male,Student,Puzzle,2.0,14.0,Morning,8.0,4,8,82,82,Positive
U0004,32,Male,Working Professional,Action,1.0,7.0,Night,4.9,7,7,71,66,Neutral
U0005,19,Male,Working Professional,Action,2.1,14.7,Morning,7.0,7,7,67,63,Neutral
U0006,29,Female,Student,Casual,5.3,37.1,Evening,6.0,9,8,78,75,Neutral
U0007,35,Male,Student,Sports,4.4,30.8,Evening,7.2,3,7,95,92,Neutral
U0008,25,Male,Working Professional,Sports,2.0,14.0,Evening,8.2,5,8,75,70,Positive
U0009,32,Male,Working Professional,Strategy,0.9,6.3,Morning,8.2,7,4,86,87,Positive
U0010,25,Male,Working Professional,Action,4.6,32.2,Morning,6.7,8,7,80,80,Neutral
U0011,20,Female,Working Professional,Simulation,5.2,36.4,Evening,5.1,4,9,82,86,Negative
U0012,35,Female,Working Professional,Action,3.4,23.8,Evening,8.4,2,8,62,67,Neutral
U0013,21,Female,Student,Strategy,2.9,20.3,Evening,6.3,6,7,66,69,Neutral
U0014,18,Male,Working Professional,Puzzle,4.7,32.9,Morning,6.7,2,7,75,77,Neutral
U0015,35,Male,Student,Casual,0.8,5.6,Evening,8.0,3,3,86,82,Positive
U0016,27,Female,Working Professional,Sports,5.7,39.9,Night,5.2,8,4,89,87,Negative
U0017,35,Male,Student,Action,3.0,21.0,Morning,5.5,3,5,56,60,Neutral
U0018,34,Male,Working Professional,Casual,4.4,30.8,Evening,4.7,3,3,76,72,Negative
U0019,24,Male,Student,Casual,1.7,11.9,Evening,5.0,9,4,85,86,Neutral
U0020,30,Female,Student,Strategy,2.4,16.8,Morning,6.1,2,8,61,56,Neutral
U0021,25,Male,Working Professional,Simulation,1.5,10.5,Morning,6.3,8,4,72,74,Neutral
U0022,31,Female,Working Professional,Strategy,0.8,5.6,Evening,8.5,2,3,70,67,Positive
U0023,27,Female,Working Professional,Strategy,5.5,38.5,Morning,5.2,2,6,71,73,Negative
U0024,19,Female,Student,Action,2.1,14.7,Night,8.4,2,8,75,70,Neutral
U0025,21,Male,Student,Simulation,0.9,6.3,Morning,5.2,3,8,70,71,Neutral
U0026,28,Male,Working Professional,Sports,2.8,19.6,Morning,6.8,7,5,68,73,Neutral
U0027,32,Male,Student,Simulation,4.2,29.4,Morning,5.7,7,9,59,54,Negative
U0028,27,Male,Working Professional,Simulation,3.3,23.1,Night,5.0,7,3,70,70,Neutral
U0029,21,Male,Working Professional,Action,2.2,15.4,Morning,8.4,2,8,90,89,Neutral
U0030,24,Female,Working Professional,Puzzle,4.6,32.2,Morning,5.1,6,7,68,68,Negative
U0031,22,Female,Student,Casual,1.0,7.0,Evening,6.2,6,3,55,55,Neutral
U0032,35,Male,Working Professional,Simulation,3.5,24.5,Night,6.2,2,3,59,56,Neutral
U0033,24,Male,Student,Puzzle,1.3,9.1,Night,5.0,6,5,57,57,Neutral
U0034,31,Male,Student,Casual,5.4,37.8,Evening,6.1,4,4,65,62,Neutral
U0035,30,Male,Working Professional,Strategy,4.8,33.6,Morning,6.1,5,5,65,61,Neutral
U0036,18,Male,Working Professional,Puzzle,5.0,35.0,Evening,6.3,6,9,69,67,Neutral
U0037,35,Female,Student,Action,5.3,37.1,Evening,8.4,6,5,87,88,Neutral
U0038,31,Female,Working Professional,Sports,1.5,10.5,Night,8.4,6,3,61,65,Positive
U0039,18,Male,Working Professional,Sports,5.9,41.3,Morning,5.0,5,5,57,58,Negative
U0040,34,Female,Working Professional,Puzzle,5.7,39.9,Evening,8.2,7,8,62,61,Neutral
U0041,23,Female,Working Professional,Simulation,4.3,30.1,Morning,6.7,5,6,79,84,Neutral
U0042,24,Female,Student,Casual,2.2,15.4,Morning,5.3,7,6,83,85,Neutral
U0043,27,Male,Student,Strategy,2.1,14.7,Morning,7.2,7,3,70,75,Neutral
U0044,24,Female,Working Professional,Sports,0.8,5.6,Morning,8.4,3,6,81,86,Positive
U0045,23,Female,Student,Simulation,1.3,9.1,Morning,7.3,3,9,82,80,Positive
U0046,34,Female,Working Professional,Simulation,5.5,38.5,Night,5.0,4,9,84,89,Negative
U0047,26,Male,Working Professional,Simulation,5.4,37.8,Evening,6.2,9,4,85,87,Neutral
U0048,26,Female,Working Professional,Simulation,3.9,27.3,Morning,5.6,3,8,73,71,Neutral
U0049,31,Female,Working Professional,Simulation,1.3,9.1,Evening,5.4,4,8,68,64,Neutral
U0050,30,Female,Student,Puzzle,2.8,19.6,Evening,5.3,8,6,92,87,Neutral
U0051,25,Female,Student,Puzzle,4.6,32.2,Evening,7.9,8,7,89,93,Neutral
U0052,22,Male,Working Professional,Simulation,3.2,22.4,Night,6.1,8,8,65,67,Neutral
U0053,19,Female,Working Professional,Puzzle,4.1,28.7,Morning,4.8,8,4,84,81,Negative
U0054,20,Female,Student,Casual,3.0,21.0,Night,5.9,8,5,81,80,Neutral
U0055,19,Male,Student,Strategy,0.8,5.6,Morning,8.3,5,8,59,64,Positive
U0056,24,Female,Working Professional,Puzzle,3.9,27.3,Morning,5.5,9,8,62,66,Neutral
U0057,21,Male,Working Professional,Simulation,3.8,26.6,Night,8.4,3,9,65,64,Neutral
U0058,25,Male,Working Professional,Casual,5.5,38.5,Night,6.0,5,3,92,97,Neutral
U0059,29,Male,Working Professional,Action,4.9,34.3,Evening,7.7,2,5,89,90,Neutral
U0060,31,Male,Working Professional,Simulation,5.0,35.0,Night,4.9,7,8,84,81,Negative
U0061,26,Female,Student,Sports,4.8,33.6,Night,6.4,6,5,70,66,Neutral
U0062,33,Male,Working Professional,Puzzle,3.9,27.3,Evening,6.0,2,6,75,72,Neutral
U0063,24,Male,Student,Casual,2.0,14.0,Evening,6.9,6,7,55,58,Neutral
U0064,18,Male,Working Professional,Strategy,3.2,22.4,Evening,7.5,9,8,86,88,Neutral
U0065,29,Female,Working Professional,Puzzle,4.3,30.1,Night,5.7,7,6,90,93,Negative
U0066,21,Male,Student,Strategy,3.0,21.0,Night,5.7,5,3,67,67,Neutral
U0067,25,Female,Student,Puzzle,3.2,22.4,Morning,7.4,6,3,67,66,Neutral
U0068,22,Female,Student,Action,4.4,30.8,Night,5.0,2,3,90,89,Negative
U0069,33,Male,Student,Sports,2.1,14.7,Evening,6.4,7,4,58,57,Neutral
U0070,27,Male,Student,Action,0.9,6.3,Night,7.0,2,4,64,68,Positive
U0071,32,Female,Working Professional,Simulation,4.7,32.9,Evening,6.9,5,9,88,89,Neutral
U0072,24,Female,Student,Strategy,2.2,15.4,Morning,7.0,3,9,68,73,Neutral
U0073,33,Female,Student,Strategy,1.5,10.5,Evening,4.8,2,6,83,87,Neutral
U0074,24,Female,Student,Simulation,4.4,30.8,Morning,7.3,9,3,69,68,Neutral
U0075,27,Female,Working Professional,Action,4.1,28.7,Evening,8.1,4,3,58,55,Neutral
U0076,32,Male,Student,Sports,4.3,30.1,Night,7.3,6,7,89,91,Neutral
U0077,18,Female,Student,Strategy,2.3,16.1,Evening,5.5,3,4,91,95,Neutral
U0078,33,Male,Working Professional,Puzzle,3.4,23.8,Evening,6.3,6,4,92,93,Neutral
U0079,27,Female,Student,Sports,2.3,16.1,Morning,7.2,4,5,81,83,Neutral
U0080,35,Female,Working Professional,Action,2.2,15.4,Morning,5.8,8,9,87,82,Neutral
U0081,24,Female,Student,Puzzle,3.4,23.8,Evening,7.0,9,8,83,78,Neutral
U0082,23,Female,Student,Simulation,5.3,37.1,Evening,6.4,2,8,93,91,Neutral
U0083,22,Female,Working Professional,Simulation,1.0,7.0,Night,8.5,3,6,62,67,Positive
U0084,22,Female,Student,Simulation,2.0,14.0,Night,7.8,9,4,84,87,Positive
U0085,34,Female,Student,Puzzle,4.6,32.2,Night,5.0,3,5,81,81,Negative
U0086,35,Female,Working Professional,Puzzle,2.1,14.7,Night,6.8,9,9,64,66,Neutral
U0087,30,Male,Working Professional,Action,4.7,32.9,Evening,6.0,7,9,67,65,Neutral
U0088,19,Male,Working Professional,Action,4.6,32.2,Evening,7.3,8,6,64,66,Neutral
U0089,22,Male,Working Professional,Puzzle,1.0,7.0,Evening,8.1,2,8,64,65,Positive
U0090,35,Female,Working Professional,Casual,3.9,27.3,Night,6.1,3,9,76,81,Neutral
U0091,27,Male,Student,Sports,5.4,37.8,Morning,6.5,2,7,59,57,Neutral
U0092,18,Male,Working Professional,Action,4.7,32.9,Evening,7.3,3,6,65,64,Neutral
U0093,23,Male,Student,Action,2.5,17.5,Night,6.2,5,7,81,85,Neutral
U0094,25,Female,Working Professional,Sports,5.3,37.1,Evening,7.0,5,6,92,89,Neutral
U0095,20,Female,Working Professional,Simulation,4.2,29.4,Evening,8.1,9,5,89,86,Neutral
U0096,30,Female,Student,Strategy,4.0,28.0,Evening,6.2,6,6,74,72,Neutral
U0097,18,Male,Working Professional,Puzzle,3.6,25.2,Morning,6.8,6,3,80,79,Neutral
U0098,22,Male,Student,Puzzle,3.8,26.6,Evening,5.9,5,7,71,76,Neutral
U0099,31,Male,Student,Strategy,0.7,4.9,Night,6.0,4,3,73,73,Neutral
U0100,33,Female,Working Professional,Action,5.3,37.1,Evening,6.0,6,9,65,64,Neutral
U0101,29,Male,Working Professional,Action,5.8,40.6,Evening,5.1,5,9,80,83,Negative
U0102,29,Male,Student,Sports,3.5,24.5,Morning,6.3,6,7,79,84,Neutral
U0103,20,Female,Working Professional,Casual,3.9,27.3,Evening,8.3,7,7,69,74,Neutral
U0104,21,Male,Student,Sports,1.1,7.7,Evening,4.7,2,5,86,82,Neutral
U0105,21,Female,Working Professional,Puzzle,2.5,17.5,Morning,8.3,8,7,64,65,Neutral
U0106,29,Female,Student,Sports,4.3,30.1,Evening,5.4,9,4,78,74,Negative
U0107,18,Male,Working Professional,Strategy,1.5,10.5,Morning,5.0,9,3,68,73,Neutral
U0108,28,Male,Student,Puzzle,4.8,33.6,Morning,5.3,5,7,68,66,Negative
U0109,18,Female,Student,Simulation,5.9,41.3,Evening,6.7,4,3,56,53,Neutral
U0110,21,Male,Working Professional,Sports,0.6,4.2,Evening,5.6,4,8,81,84,Neutral
U0111,34,Female,Working Professional,Casual,3.3,23.1,Morning,4.9,5,7,57,62,Neutral
U0112,32,Male,Student,Puzzle,0.8,5.6,Night,6.4,8,6,61,63,Neutral
U0113,27,Female,Working Professional,Action,1.3,9.1,Night,5.0,7,6,93,96,Neutral
U0114,31,Female,Working Professional,Sports,1.1,7.7,Evening,7.1,5,6,83,81,Positive
U0115,22,Female,Student,Action,4.5,31.5,Morning,5.8,7,8,71,71,Negative
U0116,19,Female,Student,Sports,1.0,7.0,Evening,4.9,7,9,63,66,Neutral
U0117,27,Female,Student,Simulation,5.3,37.1,Night,8.3,8,9,58,57,Neutral
U0118,35,Female,Student,Puzzle,1.7,11.9,Night,7.1,5,9,61,61,Positive
U0119,23,Female,Working Professional,Puzzle,1.7,11.9,Evening,6.2,2,7,72,67,Neutral
U0120,18,Male,Student,Sports,0.5,3.5,Evening,8.0,8,3,64,69,Positive
U0121,20,Male,Student,Strategy,3.0,21.0,Night,5.1,6,8,75,79,Neutral
U0122,32,Female,Working Professional,Strategy,0.8,5.6,Night,4.8,9,8,82,84,Neutral
U0123,34,Female,Student,Strategy,1.1,7.7,Evening,6.2,6,8,92,94,Neutral
U0124,26,Female,Working Professional,Action,5.9,41.3,Morning,4.7,5,5,68,65,Negative
U0125,34,Female,Student,Sports,3.2,22.4,Night,6.2,4,6,89,87,Neutral
U0126,31,Female,Working Professional,Puzzle,0.7,4.9,Morning,4.6,3,9,75,79,Neutral
U0127,29,Male,Working Professional,Action,2.7,18.9,Morning,8.4,4,9,94,96,Neutral
U0128,25,Female,Student,Action,2.9,20.3,Night,6.1,3,6,74,74,Neutral
U0129,22,Male,Student,Strategy,4.0,28.0,Evening,6.6,5,9,77,77,Neutral
U0130,32,Female,Working Professional,Casual,1.6,11.2,Evening,6.9,3,4,95,97,Neutral
U0131,19,Female,Student,Puzzle,1.3,9.1,Evening,4.8,9,8,74,73,Neutral
U0132,34,Female,Working Professional,Simulation,3.0,21.0,Night,4.7,6,3,60,64,Neutral
U0133,24,Female,Working Professional,Simulation,5.7,39.9,Morning,7.5,2,6,91,96,Neutral
U0134,23,Male,Student,Casual,5.8,40.6,Evening,6.3,7,8,60,63,Neutral
U0135,30,Female,Working Professional,Casual,6.0,42.0,Night,6.6,4,5,78,77,Neutral
U0136,35,Female,Working Professional,Puzzle,0.8,5.6,Night,7.0,7,3,76,72,Positive
U0137,22,Female,Working Professional,Casual,5.2,36.4,Night,8.4,4,5,60,64,Neutral
U0138,28,Male,Student,Casual,4.1,28.7,Night,5.0,3,5,90,91,Negative
U0139,28,Female,Student,Strategy,2.8,19.6,Morning,5.9,7,5,66,64,Neutral
U0140,19,Female,Student,Simulation,1.4,9.8,Evening,5.7,3,7,89,92,Neutral
U0141,31,Female,Student,Sports,1.3,9.1,Night,5.2,4,8,83,78,Neutral
U0142,27,Female,Student,Puzzle,2.1,14.7,Night,7.5,9,4,89,87,Neutral
U0143,34,Female,Student,Strategy,5.7,39.9,Night,8.4,9,9,73,74,Neutral
U0144,21,Male,Working Professional,Action,1.3,9.1,Morning,5.5,9,9,78,81,Neutral
U0145,25,Female,Working Professional,Action,2.0,14.0,Evening,8.1,4,9,82,78,Positive
U0146,25,Male,Working Professional,Action,0.8,5.6,Night,6.5,5,6,60,60,Neutral
U0147,22,Female,Working Professional,Simulation,4.1,28.7,Morning,7.7,4,3,73,75,Neutral
U0148,34,Female,Student,Puzzle,5.5,38.5,Morning,4.6,5,9,64,67,Negative
U0149,20,Male,Working Professional,Simulation,2.2,15.4,Night,4.7,8,8,94,96,Neutral
U0150,31,Male,Working Professional,Strategy,0.6,4.2,Night,6.6,5,8,64,63,Neutral
U0151,34,Male,Working Professional,Sports,2.8,19.6,Morning,7.2,3,7,78,74,Neutral
U0152,20,Female,Student,Casual,4.0,28.0,Night,8.4,6,8,56,56,Neutral
U0153,35,Female,Student,Casual,4.0,28.0,Evening,7.6,7,4,57,57,Neutral
U0154,32,Male,Working Professional,Strategy,5.9,41.3,Morning,6.4,4,9,63,59,Neutral
U0155,35,Female,Working Professional,Action,4.9,34.3,Night,8.0,7,5,87,88,Neutral
U0156,21,Female,Working Professional,Sports,1.6,11.2,Night,5.9,2,9,76,75,Neutral
U0157,29,Female,Student,Casual,2.9,20.3,Evening,8.3,7,4,86,88,Neutral
U0158,21,Male,Working Professional,Casual,0.9,6.3,Evening,6.9,4,7,73,73,Neutral
U0159,32,Male,Working Professional,Simulation,2.2,15.4,Evening,6.9,8,4,83,83,Neutral
U0160,29,Male,Student,Strategy,2.0,14.0,Night,8.4,2,3,95,96,Positive
U0161,29,Female,Working Professional,Simulation,4.2,29.4,Morning,6.3,4,3,70,75,Neutral
U0162,22,Female,Working Professional,Puzzle,3.8,26.6,Night,7.2,7,5,83,79,Neutral
U0163,34,Female,Student,Puzzle,2.0,14.0,Evening,8.3,2,8,66,68,Positive
U0164,21,Male,Student,Sports,4.4,30.8,Morning,5.4,6,8,86,84,Negative
U0165,29,Male,Working Professional,Puzzle,5.4,37.8,Morning,6.3,3,9,75,80,Neutral
U0166,25,Male,Student,Strategy,4.4,30.8,Morning,8.2,4,9,78,81,Neutral
U0167,20,Male,Working Professional,Sports,4.8,33.6,Night,4.6,7,6,90,87,Negative
U0168,22,Female,Student,Sports,4.5,31.5,Evening,6.6,8,9,91,87,Neutral
U0169,34,Male,Student,Simulation,4.2,29.4,Morning,5.9,4,9,63,64,Negative
U0170,20,Female,Student,Casual,2.2,15.4,Night,5.1,5,5,88,87,Neutral
U0171,22,Male,Working Professional,Simulation,2.0,14.0,Morning,7.0,3,7,65,69,Positive
U0172,24,Female,Student,Sports,5.0,35.0,Night,4.6,2,8,91,90,Negative
U0173,30,Female,Working Professional,Action,3.5,24.5,Night,7.1,6,6,70,75,Neutral
U0174,22,Female,Working Professional,Casual,0.8,5.6,Evening,6.3,9,6,68,68,Neutral
U0175,28,Male,Working Professional,Action,5.9,41.3,Evening,5.0,7,7,90,86,Negative
U0176,31,Male,Student,Puzzle,3.0,21.0,Night,5.1,2,5,79,83,Neutral
U0177,33,Female,Working Professional,Action,4.5,31.5,Morning,5.3,4,6,87,89,Negative
U0178,19,Male,Working Professional,Sports,5.7,39.9,Night,6.5,5,4,92,92,Neutral
U0179,21,Female,Student,Puzzle,5.4,37.8,Night,7.1,9,5,89,84,Neutral
U0180,35,Male,Working Professional,Simulation,2.5,17.5,Evening,6.1,2,6,58,62,Neutral
U0181,21,Male,Student,Sports,0.9,6.3,Evening,6.5,6,9,94,99,Neutral
U0182,34,Female,Student,Action,4.9,34.3,Morning,5.9,7,9,64,62,Negative
U0183,34,Male,Working Professional,Simulation,1.3,9.1,Evening,5.8,9,7,84,81,Neutral
U0184,34,Female,Working Professional,Sports,1.4,9.8,Morning,8.5,6,7,76,79,Positive
U0185,18,Female,Working Professional,Casual,2.5,17.5,Night,7.2,8,7,74,79,Neutral
U0186,30,Male,Student,Action,3.7,25.9,Night,7.4,9,4,88,93,Neutral
U0187,22,Female,Student,Sports,5.7,39.9,Night,4.9,2,6,75,76,Negative
U0188,24,Female,Working Professional,Simulation,4.8,33.6,Evening,8.2,2,8,63,66,Neutral
U0189,26,Female,Student,Strategy,2.2,15.4,Evening,5.2,7,7,77,82,Neutral
U0190,33,Female,Working Professional,Puzzle,3.6,25.2,Night,5.4,6,9,73,71,Neutral
U0191,35,Female,Working Professional,Puzzle,5.6,39.2,Morning,7.7,6,5,62,66,Neutral
U0192,26,Female,Student,Strategy,2.1,14.7,Night,5.7,3,5,83,88,Neutral
U0193,25,Male,Student,Casual,2.0,14.0,Night,6.7,6,4,61,65,Neutral
U0194,21,Male,Student,Simulation,1.7,11.9,Morning,5.4,3,6,76,78,Neutral
U0195,28,Female,Student,Action,2.7,18.9,Night,8.2,9,6,67,66,Neutral
U0196,19,Female,Working Professional,Strategy,3.7,25.9,Night,6.6,2,4,81,78,Neutral
U0197,21,Female,Working Professional,Sports,5.8,40.6,Night,8.2,2,3,74,78,Neutral
U0198,26,Male,Student,Puzzle,3.5,24.5,Morning,6.5,4,9,87,89,Neutral
U0199,24,Male,Working Professional,Sports,4.5,31.5,Night,7.1,4,3,76,75,Neutral
U0200,28,Male,Student,Puzzle,2.3,16.1,Evening,6.1,3,4,63,65,Neutral
U0201,18,Female,Working Professional,Casual,1.8,12.6,Morning,7.5,7,5,92,96,Positive
U0202,34,Female,Student,Casual,0.8,5.6,Evening,5.0,6,4,80,85,Neutral
U0203,29,Female,Working Professional,Simulation,2.5,17.5,Night,5.4,4,6,64,66,Neutral
U0204,29,Male,Student,Action,5.0,35.0,Night,7.5,3,7,83,86,Neutral
U0205,32,Male,Student,Casual,5.5,38.5,Night,5.3,4,4,75,78,Negative
U0206,22,Female,Working Professional,Simulation,3.2,22.4,Morning,8.1,9,9,58,60,Neutral
U0207,26,Male,Student,Simulation,3.6,25.2,Morning,7.2,6,8,56,57,Neutral
U0208,33,Male,Working Professional,Sports,0.7,4.9,Morning,5.9,3,7,58,54,Neutral
U0209,30,Female,Student,Casual,4.7,32.9,Night,7.6,8,5,79,81,Neutral
U0210,30,Male,Student,Action,5.3,37.1,Morning,5.0,7,3,66,69,Negative
U0211,25,Female,Working Professional,Strategy,5.9,41.3,Evening,6.4,8,7,79,77,Neutral
U0212,18,Male,Student,Action,1.5,10.5,Morning,8.0,3,3,81,85,Positive
U0213,32,Male,Student,Action,3.8,26.6,Morning,6.3,2,4,57,58,Neutral
U0214,28,Male,Working Professional,Strategy,3.3,23.1,Night,5.7,7,7,93,98,Neutral
U0215,23,Female,Working Professional,Action,3.4,23.8,Evening,6.2,6,3,90,94,Neutral
U0216,22,Female,Working Professional,Strategy,5.7,39.9,Night,7.2,7,8,81,82,Neutral
U0217,19,Female,Working Professional,Simulation,3.1,21.7,Night,7.9,6,9,64,66,Neutral
U0218,29,Male,Student,Action,1.2,8.4,Evening,5.5,5,5,60,62,Neutral
U0219,35,Male,Working Professional,Strategy,2.6,18.2,Evening,6.9,2,9,59,57,Neutral
U0220,25,Male,Working Professional,Strategy,2.2,15.4,Night,8.1,5,4,62,64,Neutral
U0221,26,Female,Working Professional,Sports,2.3,16.1,Morning,5.6,9,7,77,76,Neutral
U0222,31,Male,Student,Casual,4.9,34.3,Morning,7.4,7,4,78,78,Neutral
U0223,28,Male,Working Professional,Simulation,0.6,4.2,Morning,6.7,8,5,64,62,Neutral
U0224,33,Female,Student,Casual,3.2,22.4,Evening,7.1,7,5,86,91,Neutral
U0225,19,Male,Student,Casual,1.4,9.8,Morning,7.4,9,4,89,94,Positive
U0226,24,Female,Working Professional,Action,4.7,32.9,Night,6.1,5,3,64,59,Neutral
U0227,18,Female,Student,Action,4.0,28.0,Night,8.2,9,8,86,81,Neutral
U0228,31,Male,Student,Action,4.5,31.5,Night,6.6,6,3,87,92,Neutral
U0229,30,Male,Working Professional,Sports,1.3,9.1,Evening,5.3,6,9,77,76,Neutral
U0230,19,Male,Working Professional,Sports,3.6,25.2,Evening,8.5,5,5,60,65,Neutral
U0231,33,Female,Working Professional,Simulation,3.5,24.5,Morning,4.7,2,8,65,61,Neutral
U0232,26,Male,Student,Casual,5.4,37.8,Evening,8.2,5,4,91,93,Neutral
U0233,24,Male,Working Professional,Action,5.4,37.8,Evening,6.8,2,4,75,70,Neutral
U0234,30,Male,Student,Simulation,1.4,9.8,Night,5.5,8,8,89,89,Neutral
U0235,30,Female,Student,Casual,5.9,41.3,Evening,4.7,8,4,59,59,Negative
U0236,31,Male,Working Professional,Action,4.8,33.6,Night,6.3,5,5,90,91,Neutral
U0237,30,Male,Working Professional,Puzzle,2.1,14.7,Evening,5.5,3,3,72,69,Neutral
U0238,21,Male,Student,Strategy,1.1,7.7,Evening,4.5,6,6,78,77,Neutral
U0239,29,Male,Working Professional,Sports,3.0,21.0,Morning,6.7,8,3,56,52,Neutral
U0240,34,Male,Working Professional,Strategy,2.1,14.7,Morning,6.1,3,8,90,88,Neutral
U0241,26,Female,Working Professional,Sports,2.0,14.0,Morning,5.6,4,3,65,66,Neutral
U0242,32,Male,Student,Puzzle,2.5,17.5,Morning,8.3,9,7,94,92,Neutral
U0243,28,Female,Student,Puzzle,5.7,39.9,Evening,5.8,8,9,76,78,Negative
U0244,28,Female,Working Professional,Simulation,3.8,26.6,Morning,7.3,9,5,66,67,Neutral
U0245,24,Male,Student,Casual,2.3,16.1,Evening,5.6,8,5,62,66,Neutral
